Zip Code,Median Age,Population,U.S. Born,Foreign Born,Foreign Percentage,Household Income,City,County,Latitude,Longitude
07702,46.6,4051.0,3881.0,154.0,0.03801530486299679,122321.0,Shrewsbury,Monmouth,40.329128000000004,-74.06315
07703,27.5,54.0,54.0,0.0,0.0,-666666666.0,Fort Monmouth,Monmouth,40.309121000000005,-74.0486
07704,41.2,6015.0,5787.0,198.0,0.03291770573566085,158264.0,Fair Haven,Monmouth,40.360580999999996,-74.03738
07711,48.5,1617.0,1577.0,29.0,0.017934446505875078,137625.0,Allenhurst,Monmouth,40.236916,-74.0069
07712,39.8,38580.0,29579.0,8434.0,0.2186106791083463,60869.0,Asbury Park,Monmouth,40.232713000000004,-74.03143
07716,46.7,8733.0,8028.0,614.0,0.07030802702393221,91012.0,Atlantic Highlands,Monmouth,40.407958,-74.03483
07717,52.4,1814.0,1750.0,43.0,0.023704520396912898,78323.0,Avon By The Sea,Monmouth,40.191809,-74.01688
07718,38.9,7552.0,6797.0,551.0,0.07296080508474577,102542.0,Belford,Monmouth,40.415902,-74.08689
07719,45.9,21155.0,19432.0,1551.0,0.07331600094540298,92414.0,Belmar,Monmouth,40.175357,-74.04694
07720,41.6,4262.0,3759.0,446.0,0.10464570624120131,61209.0,Bradley Beach,Monmouth,40.202113,-74.01353
07721,36.2,3039.0,2433.0,581.0,0.19118130964132937,68350.0,Cliffwood,Monmouth,40.435961,-74.23734
07722,45.3,10147.0,9287.0,794.0,0.07824972898393615,166706.0,Colts Neck,Monmouth,40.300226,-74.18306
07723,58.9,749.0,617.0,120.0,0.1602136181575434,77778.0,Deal,Monmouth,40.250104,-74.00153
07724,42.9,21245.0,17623.0,3315.0,0.15603671452106377,79868.0,Eatontown,Monmouth,40.301978999999996,-74.06889
07726,43.1,44337.0,37393.0,6307.0,0.14225139274195367,106678.0,Englishtown,Monmouth,40.294244,-74.34213000000001
07727,38.9,7758.0,6890.0,710.0,0.09151843258571797,77128.0,Farmingdale,Monmouth,40.205366999999995,-74.15767
07728,41.1,55497.0,45983.0,8836.0,0.15921581346739463,86037.0,Freehold,Monmouth,40.241036,-74.27629
07730,42.9,17389.0,15407.0,1862.0,0.107079187992409,98194.0,Hazlet,Monmouth,40.423297999999996,-74.179
07731,39.0,38492.0,33692.0,4451.0,0.11563441754130728,102961.0,Howell,Monmouth,40.146597,-74.20815
07732,51.3,4900.0,4481.0,308.0,0.06285714285714286,60817.0,Highlands,Monmouth,40.404474,-73.9904
07733,48.4,16729.0,12845.0,3688.0,0.22045549644330206,152294.0,Holmdel,Monmouth,40.384832,-74.17194
07734,41.9,12738.0,11216.0,1250.0,0.09813157481551264,54092.0,Keansburg,Monmouth,40.444407,-74.13298
07735,40.4,18939.0,16367.0,2193.0,0.11579280849041661,66782.0,Keyport,Monmouth,40.439714,-74.19374
07737,43.4,3909.0,3755.0,133.0,0.034024047070862116,91042.0,Leonardo,Monmouth,40.416771999999995,-74.06058
07738,44.9,6193.0,5587.0,543.0,0.08767963830130793,132222.0,Lincroft,Monmouth,40.337374,-74.12059
07739,44.8,5917.0,5546.0,355.0,0.05999661990873754,144250.0,Little Silver,Monmouth,40.33517,-74.04059000000001
07740,37.0,31038.0,20953.0,9434.0,0.30394999677814294,55038.0,Long Branch,Monmouth,40.297932,-73.99096999999999
07746,44.5,18576.0,14875.0,3516.0,0.1892764857881137,144588.0,Marlboro,Monmouth,40.316876,-74.26111999999999
07747,41.6,31092.0,25291.0,5484.0,0.17637977614820533,99825.0,Matawan,Monmouth,40.411102,-74.23767
07748,43.3,27139.0,24677.0,2233.0,0.08228011348981171,113676.0,Middletown,Monmouth,40.410213,-74.11718
07750,53.3,3237.0,3079.0,127.0,0.039233858510966946,110380.0,Monmouth Beach,Monmouth,40.332877,-73.97986
07751,41.3,19837.0,15140.0,4588.0,0.23128497252608762,145118.0,Morganville,Monmouth,40.361014000000004,-74.26595
07753,45.1,38073.0,33262.0,4260.0,0.11189031597194862,64774.0,Neptune,Monmouth,40.208945,-74.05261
07755,45.1,5977.0,5430.0,538.0,0.09001171156098377,90192.0,Oakhurst,Monmouth,40.263575,-74.02176
07756,59.0,2943.0,2764.0,179.0,0.06082229018008835,60000.0,Ocean Grove,Monmouth,40.211982,-74.00916
07757,47.5,5738.0,5255.0,440.0,0.07668177065179504,107571.0,Oceanport,Monmouth,40.318115,-74.01239
07758,40.8,4275.0,3939.0,297.0,0.06947368421052631,92879.0,Port Monmouth,Monmouth,40.427561,-74.1069
07760,44.5,8803.0,8027.0,628.0,0.07133931614222425,138917.0,Rumson,Monmouth,40.369145,-73.99576
