ZipCode_Int,City,County,Zip Code Map,Zip Code
8641,Trenton,Burlington,View Map,08641
8645,Trenton,Mercer,View Map,08645
8646,Trenton,Mercer,View Map,08646
8647,Trenton,Mercer,View Map,08647
8648,Trenton,Mercer,View Map,08648
8650,Trenton,Mercer,View Map,08650
8666,Trenton,Mercer,View Map,08666
8677,Trenton,Mercer,View Map,08677
8690,Trenton,Mercer,View Map,08690
8691,Trenton,Mercer,View Map,08691
8695,Trenton,Mercer,View Map,08695
8701,Lakewood,Ocean,View Map,08701
8720,Allenwood,Monmouth,View Map,08720
8721,Bayville,Ocean,View Map,08721
8722,Beachwood,Ocean,View Map,08722
8723,Brick,Ocean,View Map,08723
8724,Brick,Ocean,View Map,08724
8730,Brielle,Monmouth,View Map,08730
8731,Forked River,Ocean,View Map,08731
8732,Island Heights,Ocean,View Map,08732
8733,Lakehurst,Ocean,View Map,08733
8734,Lanoka Harbor,Ocean,View Map,08734
8735,Lavallette,Ocean,View Map,08735
8736,Manasquan,Monmouth,View Map,08736
8738,Mantoloking,Ocean,View Map,08738
8739,Normandy Beach,Ocean,View Map,08739
8740,Ocean Gate,Ocean,View Map,08740
8741,Pine Beach,Ocean,View Map,08741
8742,Point Pleasant Beach,Ocean,View Map,08742
8750,Sea Girt,Monmouth,View Map,08750
8751,Seaside Heights,Ocean,View Map,08751
8752,Seaside Park,Ocean,View Map,08752
8753,Toms River,Ocean,View Map,08753
8754,Toms River,Ocean,View Map,08754
8755,Toms River,Ocean,View Map,08755
8756,Toms River,Ocean,View Map,08756
8757,Toms River,Ocean,View Map,08757
8758,Waretown,Ocean,View Map,08758
8759,Manchester Township,Ocean,View Map,08759
8801,Annandale,Hunterdon,View Map,08801
8802,Asbury,Hunterdon,View Map,08802
8803,Baptistown,Hunterdon,View Map,08803
8804,Bloomsbury,Hunterdon,View Map,08804
